disease,year_of_birth,sex,age,year,bau_incidence,int_incidence,bau_prevalence,int_prevalence,bau_deaths,int_deaths,diff_incidence,diff_prevalence
CHD,1904,female,107,2011,0.0339949171,0.032295171245,0.1718976559,0.1718976559,2.842170943040401e-14,2.842170943040401e-14,-0.0016997458550000039,0.0
CHD,1904,female,108,2012,0.03332177264059313,0.031655684008563466,0.1514419718223911,0.15025496224163584,56.089091023889125,55.87393437286204,-0.0016660886320296608,-0.001187009580755266
CHD,1904,female,109,2013,0.03266195733453872,0.031028859467811785,0.13628213827118968,0.1342533160350208,102.45600991006197,101.71513233921924,-0.0016330978667269368,-0.0020288222361688757
CHD,1904,female,110,2014,0.0320152072469167,0.030414446884570862,0.12510502989524566,0.12249259673342613,141.84112829395556,140.39510848671512,-0.001600760362345837,-0.0026124331618195273
CHD,1904,male,107,2011,0.0522184994,0.049607574429999995,0.2807964918,0.2807964918,0.0,0.0,-0.0026109249700000045,0.0
CHD,1904,male,108,2012,0.051184503833949596,0.048625278642252114,0.2572536166010243,0.2556216784712655,80.01212456024047,79.76248441476594,-0.0025592251916974826,-0.0016319381297588142
CHD,1904,male,109,2013,0.050170982751901926,0.047662433614306825,0.23834952171391255,0.2354885650803981,146.74675326501523,145.88606550930416,-0.002508549137595101,-0.002860956633514461
CHD,1904,male,110,2014,0.04917753073191037,0.046718654195314846,0.22328417391628713,0.21952388875172513,203.44827193422003,201.7692686256478,-0.0024588765365955237,-0.003760285164562005
CHD,1909,female,102,2011,0.0339949171,0.032295171245,0.1718976559,0.1718976559,2.842170943040401e-14,2.842170943040401e-14,-0.0016997458550000039,0.0
CHD,1909,female,103,2012,0.03332177264059313,0.031655684008563466,0.1514419718223911,0.15025496224163584,56.089091023889125,55.87393437286204,-0.0016660886320296608,-0.001187009580755266
CHD,1909,female,104,2013,0.03266195733453872,0.031028859467811785,0.13628213827118968,0.1342533160350208,102.45600991006197,101.71513233921924,-0.0016330978667269368,-0.0020288222361688757
CHD,1909,female,105,2014,0.0320152072469167,0.030414446884570862,0.12510502989524566,0.12249259673342613,141.84112829395556,140.39510848671512,-0.001600760362345837,-0.0026124331618195273
CHD,1909,female,106,2015,0.03138126366906857,0.029812200485615142,0.11688164959849148,0.11387592419930138,176.097164366413,173.85145702216346,-0.0015690631834534285,-0.0030057253991900984
CHD,1909,female,107,2016,0.03075987301511049,0.029221879364354962,0.1108308577741363,0.10757081546834145,206.49132128125154,203.40606607606088,-0.0015379936507555272,-0.0032600423057948524
CHD,1909,female,108,2017,0.030150786720495565,0.028643247384470785,0.10637131294975115,0.1029578457923119,233.9014482811134,229.9716855599795,-0.0015075393360247796,-0.0034134671574392456
CHD,1909,female,109,2018,0.029553761142584692,0.028076073085455455,0.10307554036926382,0.09958162587669046,258.9443202092102,254.18698519069142,-0.0014776880571292367,-0.003493914492573358
CHD,1909,female,110,2019,0.02896855746318625,0.027520129590026934,0.10063133581018482,0.09710962817533414,282.06013106018213,276.50548891219034,-0.0014484278731593143,-0.003521707634850685
CHD,1909,male,102,2011,0.0522184994,0.049607574429999995,0.2807964918,0.2807964918,0.0,0.0,-0.0026109249700000045,0.0
CHD,1909,male,103,2012,0.051184503833949596,0.048625278642252114,0.2572536166010243,0.2556216784712655,80.01212456024047,79.76248441476594,-0.0025592251916974826,-0.0016319381297588142
CHD,1909,male,104,2013,0.050170982751901926,0.047662433614306825,0.23834952171391255,0.2354885650803981,146.74675326501523,145.88606550930416,-0.002508549137595101,-0.002860956633514461
CHD,1909,male,105,2014,0.04917753073191037,0.046718654195314846,0.22328417391628713,0.21952388875172513,203.44827193422003,201.7692686256478,-0.0024588765365955237,-0.003760285164562005
CHD,1909,male,106,2015,0.04820375037992073,0.04579356286092469,0.21133653053168208,0.20694157056102422,252.43357034756497,249.8313459020588,-0.0024101875189960417,-0.0043949599706578635
CHD,1909,male,107,2016,0.047249252170808304,0.04488678956226789,0.2018877962290568,0.19706763628268928,295.37593011678763,291.8128738869325,-0.002362462608540415,-0.00482015994636753
CHD,1909,male,108,2017,0.04631365429256262,0.04399797157793449,0.19442402274852374,0.1893427447827952,333.4984637118781,328.9804783458503,-0.002315682714628134,-0.005081277965728548
CHD,1909,male,109,2018,0.0453965824935576,0.04312675336887972,0.18852775198982272,0.1833128772022044,367.70680961681876,362.2671848792081,-0.00226982912467788,-0.005214874787618312
CHD,1909,male,110,2019,0.04449766993284583,0.04227278643620354,0.18386501455676707,0.1786150409679567,398.6807756541939,392.369274825062,-0.0022248834966422937,-0.0052499735888103805
CHD,1914,female,97,2011,0.0336191887,0.03193822926499999,0.2209702689,0.2209702689,-2.842170943040401e-14,-2.842170943040401e-14,-0.001680959435000004,0.0
CHD,1914,female,98,2012,0.03314747871151895,0.031490104775943,0.19385186755935144,0.19271255070288207,65.14681238039864,64.96182376452427,-0.0016573739355759468,-0.001139316856469369
CHD,1914,female,99,2013,0.03266195733453872,0.031028859467811785,0.168661634512796,0.16669995132702153,122.60423396592091,121.92134127646733,-0.0016330978667269368,-0.001961683185774471
CHD,1914,female,100,2014,0.0320152072469167,0.030414446884570862,0.14966091125844558,0.14711493029264164,169.23692268150984,167.88825080172086,-0.001600760362345837,-0.00254598096580394
CHD,1914,female,101,2015,0.03138126366906857,0.029812200485615142,0.13544219958660156,0.13249430555510971,208.14331665702707,206.0405531454959,-0.0015690631834534285,-0.0029478940314918434
CHD,1914,female,102,2016,0.03075987301511049,0.029221879364354962,0.12484758472840618,0.12163473389428611,241.42577637464296,238.531862149922,-0.0015379936507555272,-0.003212850834120068
CHD,1914,female,103,2017,0.030150786720495565,0.028643247384470785,0.1169660888747108,0.11358974048300287,270.5255678868221,266.8361466974583,-0.0015075393360247796,-0.0033763483917079312
CHD,1914,female,104,2018,0.029553761142584692,0.028076073085455455,0.11110102727720433,0.10763565563765928,296.4418196352983,291.9730439337938,-0.0014776880571292367,-0.0034653716395450507
CHD,1914,female,105,2019,0.02896855746318625,0.027520129590026934,0.10672904824261657,0.10322896792895529,319.87564784313787,314.65614893500117,-0.0014484278731593143,-0.00350008031366128
CHD,1914,female,106,2020,0.028394941593025667,0.026975194513374382,0.10346129554542431,0.09996592112705131,341.32568725144415,335.39128814964295,-0.0014197470796512845,-0.0034953744183729984
CHD,1914,female,107,2021,0.027832684078106563,0.026441049874201233,0.10101064635414238,0.09754844799438529,361.15185146310193,354.5420947861544,-0.0013916342039053294,-0.003462198359757085
CHD,1914,female,108,2022,0.027281560007926108,0.025917482007529802,0.09916573247788035,0.09575716645741295,379.61818384799085,372.3740657591532,-0.0013640780003963057,-0.0034085660204674073
CHD,1914,female,109,2023,0.026741348925507804,0.02540428147923241,0.09777106999317119,0.09443073053715587,396.9218565773072,389.0843646690917,-0.0013370674462753925,-0.0033403394560153205
CHD,1914,female,110,2024,0.026211834739215772,0.02490124300225498,0.09671218912115555,0.0934503808099934,413.21293359895157,404.822121807609,-0.0013105917369607908,-0.0032618083111621426
CHD,1914,male,97,2011,0.0515561814,0.04897837233,0.3319887216,0.3319887216,0.0,0.0,-0.002577809069999999,0.0
CHD,1914,male,98,2012,0.05088126653375953,0.04833720320707155,0.30458767656649144,0.30305108664739405,87.05637755821914,86.84198605594293,-0.0025440633266879814,-0.0015365899190973864
CHD,1914,male,99,2013,0.050170982751901926,0.047662433614306825,0.2774647851124172,0.2747433199034238,164.32320640835061,163.53895420778053,-0.002508549137595101,-0.0027214652089933566
CHD,1914,male,100,2014,0.04917753073191037,0.046718654195314846,0.25533085007948186,0.2517192676204014,228.0725796481147,226.52636857261643,-0.0024588765365955237,-0.0036115824590804424
CHD,1914,male,101,2015,0.04820375037992073,0.04579356286092469,0.23743958912664634,0.23318444986430564,281.6585069116411,279.25321513256154,-0.0024101875189960417,-0.004255139262340696
CHD,1914,male,102,2016,0.047249252170808304,0.04488678956226789,0.2230732116846338,0.21837599884977096,327.4802821667531,324.18122065271257,-0.002362462608540415,-0.004697212834862824
CHD,1914,male,103,2017,0.04631365429256262,0.04399797157793449,0.21158646293326366,0.2066089502206486,367.27166847636147,363.0845115781735,-0.002315682714628134,-0.0049775127126150676
CHD,1914,male,104,2018,0.0453965824935576,0.04312675336887972,0.20242429623463973,0.19729464491871265,402.2990409784452,397.2548618456055,-0.00226982912467788,-0.005129651315927075
CHD,1914,male,105,2019,0.04449766993284583,0.04227278643620354,0.19512331015950254,0.18994199986815766,433.4980279588767,427.6431715522832,-0.0022248834966422937,-0.005181310291344887
CHD,1914,male,106,2020,0.04361655703341738,0.04143572918174651,0.18930449420758846,0.18414963798871306,461.56835019879827,454.95761048176234,-0.002180827851670869,-0.005154856218875403
CHD,1914,male,107,2021,0.04275289133836414,0.040615246771445936,0.18466222351533726,0.17959410034434076,487.0400758803207,479.73213512302885,-0.002137644566918208,-0.0050681231709965024
CHD,1914,male,108,2022,0.0419063273698924,0.03981101100139778,0.18095241258165065,0.17601721024955996,510.32021145560736,502.37463036938163,-0.0020953163684946235,-0.004935202332090688
CHD,1914,male,109,2023,0.041076526491127106,0.03902270016657075,0.17798135650965527,0.17321419676207192,531.7256841200563,523.2009553774895,-0.0020538263245563557,-0.004767159747583349
CHD,1914,male,110,2024,0.04026315677065257,0.03824999893211994,0.17559593423950173,0.17102328258071037,551.5068505010206,542.4591804216469,-0.0020131578385326337,-0.004572651658791366
CHD,1919,female,92,2011,0.0329379236,0.03129102742,0.3080894966,0.3080894966,5.684341886080802e-14,5.684341886080802e-14,-0.0016468961800000029,0.0
CHD,1919,female,93,2012,0.0323588244837379,0.030740883259551002,0.2961316287073839,0.29508129210312556,48.28872586062988,48.20364019163043,-0.001617941224186896,-0.0010503366042583506
CHD,1919,female,94,2013,0.03182224706090309,0.030231134707857935,0.2801542611299363,0.27822472333409615,98.55963746703827,98.21330749607068,-0.0015911123530451578,-0.0019295377958401527
CHD,1919,female,95,2014,0.03132609073234518,0.029759786195727916,0.2606518953750998,0.2580253295540255,149.4051949846345,148.62900200665237,-0.001566304536617262,-0.0026265658210742893
CHD,1919,female,96,2015,0.0308683342558221,0.029324917543030994,0.2383571592125728,0.23522203446272605,199.4022257699636,198.0470043121855,-0.0015434167127911062,-0.003135124749846757
CHD,1919,female,97,2016,0.030419899899771702,0.028898904904783116,0.214990260890256,0.21152333919463276,246.50651234027748,244.46336858666237,-0.0015209949949885858,-0.0034669216956232374
